JARVIS-ID,Spg.number,Spg.Symbol,Composition,Spillage,SO_dir,SO_indir,NSO_di,NSO_indir,Dimesniolity ,mpid,Type,?1,?2,?3,?4,?5,?6,Indirgap QE(eV),Dirgap QE (eV),Dirgap WT (eV),Indirgap WT (eV),Dirgap WT-dense (eV)
JVASP-36896,6,Pm,RbAgBr3,0.036,0,-1.858,0,-1.977,3D,,,,,,,,,,,,,
JVASP-41740,225,Fm-3m,AcCdRh2,0.487,0.001,-1.857,0.282,-0.32,3D,,,,,,,,,,,,,
JVASP-42893,225,Fm-3m,Er2ZnOs,0.186,0.004,-1.857,0,-2.176,3D,,,,,,,,,,,,,
JVASP-40272,225,Fm-3m,LiTm2Rh,0.13,0.001,-1.857,0,-1.91,3D,,,,,,,,,,,,,
JVASP-18919,221,Pm-3m,ScRh3,0.113,0.001,-1.857,0,-1.826,3D,,,,,,,,,,,,,
JVASP-41725,225,Fm-3m,AcMgTl2,1.655,0.001,-1.856,0,-0.752,3D,,,,,,,,,,,,,
JVASP-39985,225,Fm-3m,MgSiRh2,0.57,0.083,-1.855,0,-1.847,3D,,,,,,,,,,,,,
JVASP-35655,221,Pm-3m,Ho3AlN,0.067,0.003,-1.855,0,-0.134,3D,,,,,,,,,,,,,
JVASP-41431,225,Fm-3m,TmSnRu2,0.95,0.001,-1.852,0,-1.47,3D,,,,,,,,,,,,,
JVASP-40521,225,Fm-3m,La2AgRu,0.141,0,-1.851,0,-0.812,3D,,,,,,,,,,,,,
JVASP-37450,225,Fm-3m,YHgPd2,2.044,0,-1.849,0,-1.844,3D,,,,,,,,,,,,,
JVASP-39898,225,Fm-3m,TmCdPd2,1.167,0,-1.846,0,-1.683,3D,,,,,,,,,,,,,
JVASP-35707,221,Pm-3m,HfPt3,0.974,0,-1.846,0,-2.03,3D,,,,,,,,,,,,,
JVASP-8736,221,Pm-3m,Er3InN,0.067,0.004,-1.846,0,-0.074,3D,,,,,,,,,,,,,
JVASP-41805,225,Fm-3m,LiLu2Ir,0.503,0.008,-1.844,0,-1.981,3D,,,,,,,,,,,,,
JVASP-38927,194,P6_3/mmc,MgSn3,0.397,0.024,-1.843,0,-1.928,3D,,,,,,,,,,,,,
JVASP-40099,225,Fm-3m,CaNdRh2,0.253,0,-1.842,0.088,-1.409,3D,,,,,,,,,,,,,
JVASP-41994,225,Fm-3m,LiY2Os,0.268,0.001,-1.839,0,-0.692,3D,,,,,,,,,,,,,
JVASP-41894,225,Fm-3m,Sc2AgRu,1.022,0,-1.837,0,-0.563,3D,,,,,,,,,,,,,
JVASP-41510,225,Fm-3m,YbCd3,0.686,0.015,-1.837,0,-1.89,3D,,,,,,,,,,,,,
JVASP-41956,225,Fm-3m,LiY2Ru,0.034,0.001,-1.836,0,-0.628,3D,,,,,,,,,,,,,
JVASP-41857,225,Fm-3m,Sc2GaTc,0.025,0.002,-1.836,0,-1.927,3D,,,,,,,,,,,,,
JVASP-39994,225,Fm-3m,CaCdHg2,1.677,0,-1.835,0,-2.134,3D,,,,,,,,,,,,,
JVASP-40033,225,Fm-3m,TiAlRu2,0.508,0,-1.835,0,-1.856,3D,,,,,,,,,,,,,
JVASP-39705,225,Fm-3m,YbCdHg2,1.986,0,-1.833,0,-2.076,3D,,,,,,,,,,,,,
JVASP-37235,225,Fm-3m,SmDyRu2,0.099,0.01,-1.833,0,-1.834,3D,,,,,,,,,,,,,
JVASP-35883,115,P-4m2,Hf2GaSb3,0.991,0.018,-1.83,0,-2.016,3D,,,,,,,,,,,,,
JVASP-18373,225,Fm-3m,HBr,2,0,-1.829,0,-1.787,3D,,,,,,,,,,,,,
JVASP-41271,225,Fm-3m,HfTc2Sn,0.509,0,-1.829,0,-1.829,3D,,,,,,,,,,,,,
JVASP-17918,221,Pm-3m,La3InN,0.031,0,-1.829,0,-0.987,3D,,,,,,,,,,,,,
JVASP-25177,229,Im-3m,Zr,0.016,0,-1.829,0,-1.89,3D,,,,,,,,,,,,,
JVASP-14706,229,Im-3m,Zr,0.016,0,-1.828,0,-1.89,3D,,,,,,,,,,,,,
JVASP-21686,127,P4/mbm,Nb3Ga2,0.34,0,-1.827,0,-1.861,3D,,,,,,,,,,,,,
JVASP-41530,225,Fm-3m,Tm2ZnTc,0.247,0,-1.827,0,-0.44,3D,,,,,,,,,,,,,
JVASP-16339,225,Fm-3m,HgS,0.261,0.306,-1.823,0.371,-1.755,3D,,,,,,,,,,,,,
JVASP-41162,225,Fm-3m,HfAlRu2,0.514,0.003,-1.819,0,-1.866,3D,,,,,,,,,,,,,
JVASP-40228,225,Fm-3m,TaBeRu2,0.461,0.001,-1.819,0,-1.899,3D,,,,,,,,,,,,,
JVASP-54575,189,P-62m,YIu,0.548,0,-1.818,0,-1.597,3D,,,,,,,,,,,,,
JVASP-40926,225,Fm-3m,Pm2LiRu,0.464,0,-1.818,0,-0.871,3D,,,,,,,,,,,,,
JVASP-39104,225,Fm-3m,Sc2TlTc,0.273,0.004,-1.818,0,-1.893,3D,,,,,,,,,,,,,
JVASP-41971,225,Fm-3m,Al2IrRh,0.176,0.081,-1.818,0,-2.125,3D,,,,,,,,,,,,,
JVASP-19707,62,Pnma,GePd,0.046,0.04,-1.817,0.014,-1.822,3D,,,,,,,,,,,,,
JVASP-17601,194,P6_3/mmc,Ni3Sn,0.319,0.003,-1.816,0,-1.844,3D,,,,,,,,,,,,,
JVASP-15924,225,Fm-3m,ZrO,0.015,0,-1.815,0,-1.79,3D,,,,,,,,,,,,,
JVASP-41554,225,Fm-3m,Y2NiIr,1.456,0,-1.814,0,-0.35,3D,,,,,,,,,,,,,
JVASP-17376,216,F-43m,CdSbAu,0.53,0,-1.814,0,-1.702,3D,,,,,,,,,,,,,
JVASP-16034,123,P4/mmm,Ba(AsPd)2,0.193,0.025,-1.814,0,-1.882,3D,,,,,,,,,,,,,
JVASP-40585,225,Fm-3m,BeVRu2,0.19,0,-1.814,0,-1.82,3D,,,,,,,,,,,,,
JVASP-15643,139,I4/mmm,Pr(NiGe)2,0.09,0.003,-1.813,0.004,-1.684,3D,,,,,,,,,,,,,
JVASP-41804,225,Fm-3m,LiLu2Os,0.287,0.001,-1.811,0,-0.459,3D,,,,,,,,,,,,,
JVASP-20100,139,I4/mmm,TaNi2,0.073,0,-1.811,0.02,-0.692,3D,,,,,,,,,,,,,
JVASP-40618,225,Fm-3m,LaMgAg2,0.057,0.001,-1.811,0,-1.218,3D,,,,,,,,,,,,,
JVASP-28371,164,P-3m1,NbTe2,0.838,0,-1.81,0,-0.803,2D,,,,,,,,,,,,,
JVASP-21854,62,Pnma,SrLiGe2,0.176,0.002,-1.81,0,-1.824,3D,,,,,,,,,,,,,
JVASP-18631,216,F-43m,MgCuBi,1.35,0,-1.809,0,-1.273,3D,,,,,,,,,,,,,
JVASP-915,194,P6_3/mmc,Lu,0.148,0,-1.808,0,-1.833,3D,,,,,,,,,,,,,
JVASP-40111,225,Fm-3m,ErSnRu2,0.991,0.002,-1.807,0,-1.437,3D,,,,,,,,,,,,,
JVASP-37408,139,I4/mmm,TePd3,0.22,0.006,-1.806,0,-1.979,3D,,,,,,,,,,,,,
JVASP-40006,225,Fm-3m,HfZu2,0.126,0.049,-1.805,0,-1.978,3D,,,,,,,,,,,,,
JVASP-41584,225,Fm-3m,VGaTc2,0.252,0.001,-1.804,0,-1.862,3D,,,,,,,,,,,,,
JVASP-35649,221,Pm-3m,Er3AlN,0.086,0.004,-1.803,0,-0.026,3D,,,,,,,,,,,,,
JVASP-40249,225,Fm-3m,LiTm2Co,0.09,0,-1.802,0,-1.829,3D,,,,,,,,,,,,,
JVASP-38055,225,Fm-3m,Rb2SBrCl6,0.079,0,-1.802,0.02,-1.13,3D,,,,,,,,,,,,,
JVASP-14520,62,Pnma,SnPd,0.087,0.04,-1.799,0.011,-1.831,3D,,,,,,,,,,,,,
JVASP-13990,63,Cmcm,TaTe5Pt,1.397,0,-1.798,0,-1.715,2D,,,,,,,,,,,,,
JVASP-41713,225,Fm-3m,LiTmAu2,1.328,0,-1.798,0,-1.913,3D,,,,,,,,,,,,,
JVASP-40971,225,Fm-3m,ErCdPd2,0.993,0,-1.798,0,-1.634,3D,,,,,,,,,,,,,
JVASP-36819,47,Pmmm,AgPdO2,0.036,0.013,-1.797,0.015,-0.482,3D,,,,,,,,,,,,,
JVASP-13919,164,P-3m1,LiSnS2,0.004,0,-1.796,0.975,0.42,2D,,,,,,,,,,,,,
JVASP-39780,225,Fm-3m,LuIg2,0.704,0.031,-1.795,0,-1.903,3D,,,,,,,,,,,,,
JVASP-41995,225,Fm-3m,Sr2CdIn,0.296,0.006,-1.795,0,-1.013,3D,,,,,,,,,,,,,
JVASP-37127,194,P6_3/mmc,PdN,0.094,0,-1.795,0,-1.886,3D,,,,,,,,,,,,,
JVASP-38631,221,Pm-3m,NiAu3,0.582,0.001,-1.792,0,-0.542,3D,,,,,,,,,,,,,
JVASP-41465,225,Fm-3m,Tm2CoRu,0.079,0,-1.792,0,-1.272,3D,,,,,,,,,,,,,
JVASP-42118,225,Fm-3m,PmCdPt2,1.716,0,-1.791,0,-1.479,3D,,,,,,,,,,,,,
JVASP-14644,225,Fm-3m,Pd,0.608,0.013,-1.791,0,-1.53,3D,,,,,,,,,,,,,
JVASP-963,225,Fm-3m,Pd,0.608,0.013,-1.791,0,-1.53,3D,,,,,,,,,,,,,
JVASP-39218,225,Fm-3m,Li2MgGe,0.547,0.35,-1.791,0.421,-1.726,3D,,,,,,,,,,,,,
JVASP-21958,62,Pnma,LiCaGe2,0.08,0.001,-1.79,0,-1.801,3D,,,,,,,,,,,,,
JVASP-27271,225,Fm-3m,ZrAlPd2,0.071,0,-1.79,0,-1.07,3D,,,,,,,,,,,,,
JVASP-42107,225,Fm-3m,PmCaPd2,0.714,0.001,-1.789,0,-0.218,3D,,,,,,,,,,,,,
JVASP-18228,225,Fm-3m,YIu2,0.747,0.08,-1.788,0,-1.963,3D,mp-22493,,,,,,,,-1.461,0.104,0,-1.822,0.016
JVASP-37725,225,Fm-3m,HoAlAu2,0.191,0.126,-1.788,0,-1.968,3D,,,,,,,,,,,,,
JVASP-15311,139,I4/mmm,Sm(CoB)2,0.165,0.001,-1.787,0,-1.242,3D,,,,,,,,,,,,,
JVASP-39071,225,Fm-3m,SmHoRu2,0.099,0.006,-1.786,0,-1.832,3D,,,,,,,,,,,,,
JVASP-41590,225,Fm-3m,VZnRu2,2.012,0,-1.784,0,-1.794,3D,,,,,,,,,,,,,
JVASP-37796,225,Fm-3m,PmDyRu2,0.099,0.002,-1.78,0,-1.776,3D,,,,,,,,,,,,,
JVASP-40525,225,Fm-3m,Sc2CuOs,0.553,0,-1.778,0,-0.434,3D,,,,,,,,,,,,,
JVASP-40413,225,Fm-3m,Al2CoIr,0.231,0.083,-1.778,0,-2.38,3D,,,,,,,,,,,,,
JVASP-17939,221,Pm-3m,Sc3PbC,0.158,0,-1.778,0,-0.3,3D,,,,,,,,,,,,,
JVASP-29617,8,Cm,BiSe,1.755,0.008,-1.777,0,-1.616,2D,mp-570286,,,,,,,,-1.798,0.003,0,-1.798,0.003
JVASP-39066,225,Fm-3m,SmErRu2,0.122,0.004,-1.777,0,-1.83,3D,,,,,,,,,,,,,
JVASP-58006,123,P4/mmm,Ba2TlSb2O7,0.041,0,-1.775,0.016,-0.059,3D,,,,,,,,,,,,,
JVASP-37251,225,Fm-3m,SmTmRu2,0.118,0.003,-1.774,0,-1.829,3D,,,,,,,,,,,,,
JVASP-20315,204,Im3,Al12Mo,0.006,0.003,-1.773,0,-1.775,3D,,,,,,,,,,,,,
JVASP-14395,194,P6_3/mmc,Hf2SnC,0.846,0.157,-1.772,0,-1.865,3D,,,,,,,,,,,,,
JVASP-15470,194,P6_3/mmc,Hf2SnC,0.846,0.157,-1.772,0,-1.865,3D,mp-4893,,,,,,,,-1.588,0.147,0,-1.538,0.004
JVASP-19609,227,Fd-3m,Au2,0.369,0,-1.772,0,-2.118,3D,,,,,,,,,,,,,
JVASP-42002,225,Fm-3m,Pm2ZnRu,0.08,0.006,-1.771,0,-1.82,3D,,,,,,,,,,,,,
JVASP-35504,123,P4/mmm,TlPPd5,0.392,0.006,-1.769,0,-1.838,3D,,,,,,,,,,,,,
JVASP-18545,191,P6/mmm,LaB2Ru3,0.359,0,-1.769,0,-0.971,3D,,,,,,,,,,,,,
JVASP-15599,139,I4/mmm,Nd(CoB)2,0.556,0,-1.768,0,-1.232,3D,,,,,,,,,,,,,
JVASP-38838,225,Fm-3m,Ca2CdIn,0.182,0.021,-1.768,0,-0.916,3D,,,,,,,,,,,,,
JVASP-42010,225,Fm-3m,SmAg3,0.032,0.002,-1.768,0,-1.752,3D,,,,,,,,,,,,,
JVASP-41868,225,Fm-3m,Sc2NiIr,0.722,0,-1.766,0,-0.513,3D,,,,,,,,,,,,,
JVASP-41460,225,Fm-3m,TmZnPd2,0.999,0,-1.765,0,-1.423,3D,,,,,,,,,,,,,
JVASP-40235,225,Fm-3m,LiY2Pt,0.366,0.007,-1.765,0,-1.781,3D,,,,,,,,,,,,,
JVASP-37911,225,Fm-3m,Ba2TlZn,0.819,0,-1.764,0,-1.642,3D,,,,,,,,,,,,,
JVASP-42131,225,Fm-3m,Er2ZnTc,0.169,0,-1.764,0,-0.45,3D,,,,,,,,,,,,,
